,Bitcoin,Bitcoin_median,Open,date,place
2017-09-13 01:00:00,0.6149330960970597,0.6600342392921448,4128.005438596491,2017-09-13 ,0
2017-09-13 02:00:00,0.6202236052027004,0.6736578345298767,4066.801166666666,2017-09-13 ,1
2017-09-13 03:00:00,0.5828913577931155,0.6046110987663269,3999.2251666666666,2017-09-13 ,2
2017-09-13 04:00:00,0.5997179843090965,0.646221399307251,3959.409666666667,2017-09-13 ,3
2017-09-13 05:00:00,0.5627891744415348,0.5662167370319366,3995.046666666667,2017-09-13 ,4
2017-09-13 06:00:00,0.5950261815937715,0.6086824536323547,4005.1322641509432,2017-09-13 ,5
2017-09-13 07:00:00,0.5771017904340512,0.5896225571632385,3982.99,2017-09-13 ,6
2017-09-13 08:00:00,0.6253022685126345,0.6884872913360596,3951.8985,2017-09-13 ,7
2017-09-13 09:00:00,0.5875131763984189,0.6063983142375946,3969.537118644068,2017-09-13 ,8
2017-09-13 10:00:00,0.5804863211341845,0.5941455066204071,3926.753000000001,2017-09-13 ,9
2017-09-13 11:00:00,0.6279094204547663,0.7189895510673523,3839.3781666666655,2017-09-13 ,10
2017-09-13 12:00:00,0.5982585764287879,0.6243815720081329,3833.9163333333327,2017-09-13 ,11
2017-09-13 13:00:00,0.6138272690505946,0.6827572286128998,3868.011,2017-09-13 ,12
2017-09-13 14:00:00,0.623900973875558,0.6761379539966583,3794.985666666667,2017-09-13 ,13
2017-09-13 15:00:00,0.6360563096874342,0.6918066740036011,3820.265666666667,2017-09-13 ,14
2017-09-13 16:00:00,0.6151580070617068,0.6480662226676941,3854.942500000001,2017-09-13 ,15
2017-09-13 17:00:00,0.603001984658362,0.6244489550590515,3932.1368333333335,2017-09-13 ,16
2017-09-13 18:00:00,0.6090282928305566,0.6258991360664368,3903.897333333333,2017-09-13 ,17
2017-09-13 19:00:00,0.6318750601846701,0.6881911158561707,3867.653166666666,2017-09-13 ,18
2017-09-13 20:00:00,0.6509868911537879,0.7087271809577942,3876.526333333333,2017-09-13 ,19
2017-09-13 21:00:00,0.6330680552322921,0.6858832240104675,3885.2776666666673,2017-09-13 ,20
2017-09-13 22:00:00,0.6591223061571269,0.7458767890930176,3927.097166666667,2017-09-13 ,21
2017-09-13 23:00:00,0.6418474398224273,0.7134085893630981,3903.992203389831,2017-09-13 ,22
2017-09-21 01:00:00,0.6654478764334598,0.763824850320816,3840.915,2017-09-21 ,23
2017-09-21 02:00:00,0.6529902145093052,0.704539567232132,3874.930172413793,2017-09-21 ,24
2017-09-21 03:00:00,0.6846438384241809,0.7666081190109253,3852.3838888888886,2017-09-21 ,25
2017-09-21 04:00:00,0.6838433520075333,0.7376709580421448,3839.0551851851856,2017-09-21 ,26
2017-09-21 05:00:00,0.690460494840484,0.7599962949752808,3865.886226415095,2017-09-21 ,27
2017-09-21 06:00:00,0.6610713518691601,0.7233099639415741,3872.7161538461537,2017-09-21 ,28
2017-09-21 07:00:00,0.6779750882533644,0.7567353844642639,3884.747288135593,2017-09-21 ,29
2017-09-21 08:00:00,0.6924349385163276,0.7775518596172333,3886.2151724137934,2017-09-21 ,30
2017-09-21 09:00:00,0.6992967936975678,0.7766681909561157,3857.0715,2017-09-21 ,31
2017-09-21 10:00:00,0.6964641349941464,0.7931326031684875,3880.756271186441,2017-09-21 ,32
2017-09-21 11:00:00,0.7275771004298456,0.8499353528022766,3872.291272727273,2017-09-21 ,33
2017-09-21 12:00:00,0.6867980685061046,0.8008361756801605,3857.0415,2017-09-21 ,34
2017-09-21 13:00:00,0.7190366312861443,0.8206506967544556,3865.4454237288137,2017-09-21 ,35
2017-09-21 14:00:00,0.6684299959507525,0.7219274342060089,3848.929322033899,2017-09-21 ,36
