date,open,close,volume
2017-09-17 07,3550.0,3503.23,2677180.3564610505
2017-09-17 08,3510.0,3526.96,3619660.9920909517
2017-09-17 09,3526.96,3617.2,2311686.6057347395
2017-09-17 10,3617.2,3564.01,1396410.24911267
2017-09-17 11,3564.0,3564.37,1570025.55834099
2017-09-17 12,3564.14,3583.0,641241.086380171
2017-09-17 13,3583.0,3659.99,2792764.3422994316
2017-09-17 14,3656.02,3643.16,3069893.19198663
2017-09-17 15,3643.16,3664.96,1828029.5423861202
2017-09-17 16,3665.98,3715.34,2978559.38978584
2017-09-17 17,3706.31,3759.99,2066069.1489217298
2017-09-17 18,3759.99,3712.89,1738088.32665422
2017-09-17 19,3712.76,3704.03,1223554.4339767317
2017-09-17 20,3704.58,3699.65,1452769.8746648578
2017-09-17 21,3696.07,3695.7,1102810.7348426566
2017-09-17 22,3696.25,3699.54,548205.4346860818
2017-09-17 23,3699.54,3665.0,1473847.0141604391
2017-09-18 00,3667.98,3740.61,1329498.3547624606
2017-09-18 01,3740.61,3764.0,2163482.61409615
2017-09-18 02,3764.0,3801.0,3664446.671037581
2017-09-18 03,3802.97,3768.86,1459244.7554113292
2017-09-18 04,3771.5,3751.4,1719685.80309047
2017-09-18 05,3747.01,3848.19,2769679.182697821
2017-09-18 06,3848.34,3912.0,3758964.0482481997
2017-09-18 07,3910.32,3925.7,6321793.3839962995
2017-09-18 08,3925.7,3959.05,2355469.98892111
2017-09-18 09,3950.84,3920.0,3557739.838536999
2017-09-18 10,3930.62,3942.0,2780180.9273541896
2017-09-18 11,3942.0,3943.9,3659611.2611511694
2017-09-18 12,3943.9,4037.61,4233154.836835399
2017-09-18 13,4039.97,4089.38,4920563.490655299
2017-09-18 14,4089.39,4024.01,4460557.431157999
2017-09-18 15,4023.6,4037.68,2844819.6225779983
2017-09-18 16,4037.73,4007.99,2553101.2512776656
2017-09-18 17,4007.97,4003.86,2623385.6881215004
2017-09-18 18,4004.0,4010.01,1502539.2907828703
2017-09-18 19,4010.01,4010.19,1374293.4017351754
2017-09-18 20,4002.96,4006.01,897143.8669007238
2017-09-18 21,4009.22,4075.0,2265744.4794625295
2017-09-18 22,4076.03,4061.15,2939429.3803931596
2017-09-18 23,4058.69,4102.99,1835435.2557718416
2017-09-19 00,4102.99,4025.54,3306703.595033027
2017-09-19 01,4025.62,3964.98,3265885.101729153
2017-09-19 02,3964.98,3977.68,2157273.645656225
2017-09-19 03,3992.66,3991.11,1150933.633748734
2017-09-19 04,3990.0,3905.1,5753194.593754188
2017-09-19 05,3904.94,3900.0,3500547.2357101105
2017-09-19 06,3899.59,3954.12,2644224.3016527775
2017-09-19 07,3960.31,3894.73,4089719.60191432
2017-09-19 08,3910.0,3954.05,2933057.912924521
2017-09-19 09,3944.71,3960.87,1006197.07040863
2017-09-19 10,3963.93,4029.02,4052156.5158727495
2017-09-19 11,4028.71,4001.77,1908813.75575014
2017-09-19 12,3995.92,4012.0,1390184.55737382
2017-09-19 13,4009.34,3956.0,2437734.9277281673
2017-09-19 14,3956.0,3980.83,1345105.8393497101
2017-09-19 15,3978.05,4005.0,2493780.96974145
2017-09-19 16,4018.0,3991.52,816736.8395077077
2017-09-19 17,4000.0,3991.41,1679413.6950856298
2017-09-19 18,3995.0,3979.87,2244678.4249118376
2017-09-19 19,3979.86,3890.11,4583909.74826597
2017-09-19 20,3890.11,3905.95,3262562.41238981
2017-09-19 21,3915.0,3909.45,1918911.169771297
2017-09-19 22,3909.45,3918.98,1374064.3527006817
2017-09-19 23,3910.87,3884.02,1092511.8106014398
2017-09-20 00,3891.83,3908.57,885419.4342677465
2017-09-20 01,3910.0,3867.46,866030.89992574
2017-09-20 02,3865.75,3890.93,1509762.3488966255
2017-09-20 03,3890.89,3877.88,1141851.769040849
2017-09-20 04,3877.83,3845.0,5437783.40124951
2017-09-20 05,3852.72,3895.98,1886936.7594968115
2017-09-20 06,3895.98,3948.26,2146467.4099609805
2017-09-20 07,3958.43,3954.69,2278492.4419945735
2017-09-20 08,3954.67,3933.91,1063175.6687656501
2017-09-20 09,3933.93,3917.62,871763.9467465949
2017-09-20 10,3917.6,3908.32,2959803.9853254464
2017-09-20 11,3910.92,3901.89,1126195.812173116
2017-09-20 12,3901.89,3926.0,1438690.676788767
2017-09-20 13,3933.88,3998.81,2540045.1731153503
2017-09-20 14,3996.84,4004.17,4085299.501478703
2017-09-20 15,4004.17,3997.88,1712000.12625958
2017-09-20 16,3997.88,4018.9,1399363.4270493798
2017-09-20 17,4018.9,3990.0,1273078.19465477
2017-09-20 18,3994.92,3990.73,1432640.0334811567
2017-09-20 19,3990.73,3951.78,2883670.8300772277
2017-09-20 20,3952.44,3960.3,1272263.163408773
2017-09-20 21,3958.3,3943.94,1413555.0879657206
2017-09-20 22,3943.78,3951.87,401140.8001726621
2017-09-20 23,3947.23,3874.98,3827638.409925514
